artist_name,track_id,track_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity
Johann Sebastian Bach,6dvVxwS6VWxxWYv4WAmnXC,"Prelude and Fugue in C Major, BWV 846: I. Prelude",0.995,0.353,286765,0.0335,0.769,9,0.0812,-36.736999999999995,1,0.0523,124.109,4,0.457,16
Mike Candys,4FceZof3FtqJgYmxhf6hgq,Instastory,0.0637,0.6709999999999999,199545,0.7340000000000001,0.0,2,0.28300000000000003,-5.485,1,0.0468,113.037,4,0.684,32
Erik Satie,4OfNehjhoTBwLy7t41zWfn,3 Sarabandes: No. 1 in F Minor,0.996,0.5479999999999999,376832,0.00128,0.9690000000000001,10,0.0882,-31.377,1,0.285,67.854,4,0.17,22
Lucky Luke,1tnI9yhwU5MKieEPhRBRPe,Friend,0.106,0.868,174269,0.653,0.00263,2,0.0936,-4.9030000000000005,1,0.193,124.999,4,0.251,39
Micky Medina,3cyo3DgVEaPsOAx2XkQvUE,Freedom Vibes,0.0153,0.8079999999999999,156000,0.636,4.18e-05,9,0.135,-7.836,0,0.0438,99.969,4,0.47100000000000003,27
Beak>,7IMx99MnTzPNQffTBsYioU,The Meader,0.0978,0.5479999999999999,201837,0.635,0.6,9,0.0998,-6.497999999999999,0,0.0415,78.983,4,0.47700000000000004,17
Ella Fitzgerald,3zEwu7yIodQKNMQT72PEpk,Stompin' At The Savoy,0.8170000000000001,0.515,315920,0.479,0.0,1,0.124,-10.494000000000002,1,0.228,106.51700000000001,4,0.613,32
Steve Void,6D4VTDZQ2nR7y8u5uq6xQo,Comfortable [Ruhde Remix],0.35700000000000004,0.633,181879,0.47700000000000004,6.96e-06,1,0.113,-7.391,1,0.0349,98.036,4,0.184,21
Tyler Steel,0gn77iNwUHN2pScHbqttN8,Take You,0.121,0.507,196947,0.81,1.8000000000000001e-06,8,0.0463,-6.07,1,0.038,148.011,4,0.37200000000000005,16
Serengeti,0n1M4AdfMufzXbmuQTJ8I2,I Just Want You to Love,0.02,0.8190000000000001,191936,0.674,0.000436,0,0.73,-6.535,1,0.0394,129.048,4,0.47600000000000003,10
Serengeti,4IyizBOuftobhEmeTz6sfw,Right Man,0.00492,0.6679999999999999,167695,0.833,0.0313,4,0.414,-5.417999999999999,1,0.0518,149.987,4,0.968,8
Mackie,4nv08zlGMmJA7r1A9RmDoR,Digale,0.36,0.883,217500,0.825,0.0,10,0.0638,-5.74,1,0.106,95.015,4,0.904,16
Nwjck,4K7XFDrZnCPkb9jmeG6P1p,Geronimo,0.0988,0.428,238968,0.88,0.0,5,0.0742,-5.202999999999999,0,0.221,104.637,4,0.7190000000000001,13
Louie Zong,3NsmIPAYHQBpyaedV9REBO,Countryside Drive,0.758,0.5579999999999999,153980,0.23399999999999999,0.8109999999999999,4,0.113,-17.847,1,0.0392,166.146,4,0.26899999999999996,27
Tony Ramey,1lhoQSoMzm8KjZTvUIUkPs,West Texas Lonely,0.154,0.649,241307,0.441,4.94e-05,4,0.244,-7.94,1,0.0263,111.837,3,0.168,5
Maro,7mItIKZdLzEvK9DsCqFars,Deixa,0.895,0.512,259187,0.191,3.28e-06,0,0.0895,-14.411,1,0.0323,137.143,3,0.124,27
Hard GZ,0JmcaD3RJlzdxkEsCDuyWj,Afrohard,0.721,0.619,195027,0.9009999999999999,0.0,2,0.0977,-5.4110000000000005,1,0.166,104.302,4,0.77,45
Kenny Segal,3Zf5T1Y6Q2epxSzLsDYEYh,For You,0.0569,0.67,166667,0.532,0.647,5,0.499,-14.439,0,0.0352,126.035,4,0.363,40
Netherfriends,5uqTogp3F5wqeiALLV3y2e,Listen to This Before You Go to Sleep,0.9840000000000001,0.161,110645,0.18100000000000002,0.857,5,0.0799,-16.051,1,0.0422,60.731,4,0.11699999999999999,7
Lil Raven,5pflBUCOZSRuXuNOTSLk2c,Make Em Sick,0.0361,0.845,224026,0.588,0.0,11,0.0913,-7.228,1,0.309,145.97299999999998,4,0.355,0
Alexie Gratia,1kwzTvRAannVdDbNzzcp5e,New Shades,0.000279,0.7190000000000001,144853,0.648,0.853,10,0.10400000000000001,-5.305,1,0.0328,139.993,4,0.0852,8
Disney Kids Band,178ZveRh5NRNtKrYwOrLky,En Mi Corazón Vivirás,0.397,0.475,261827,0.47600000000000003,0.0,1,0.11699999999999999,-10.700999999999999,1,0.0443,193.72400000000002,4,0.513,0
BRYOZA,4sR4SBYm3ZqNaBiZojDq2l,S'more Yellow,0.047,0.8390000000000001,237734,0.349,2.12e-06,2,0.0403,-11.84,1,0.24,159.86,4,0.635,33
Antonio Vivaldi,0EfeIsb5n9ucsEnEN260UO,"Recorder Concerto in A Minor, RV 445 (Version for Piccolo & Orchestra): I. Allegro",0.792,0.597,242218,0.263,0.0668,9,0.135,-18.673,0,0.0542,107.031,4,0.603,13
Wolfgang Amadeus Mozart,1QjLTZLElAPhz8l5vJfFMH,"Le nozze di Figaro, K. 492, Act II: Esci omai, garzon malnato (Live)",0.953,0.435,401893,0.29600000000000004,0.0,10,0.6,-13.664000000000001,1,0.0878,107.01299999999999,4,0.47,2
Tiigers,27uI1GVPLLqzWugk40X3jB,Octopus,0.0808,0.852,207821,0.907,0.139,1,0.11,-3.588,1,0.35700000000000004,112.50200000000001,3,0.38,0
Career The Brain,7psYLDKKinaxBIzkB9BMyL,DopeMan,0.0189,0.8029999999999999,152868,0.654,0.00018700000000000002,9,0.237,-4.556,1,0.26899999999999996,146.092,4,0.58,15
$ubjectz,4VjClR9wRKLSZ9aBALPiv0,FWM,0.0121,0.643,116000,0.795,0.0,10,0.27,-9.873,0,0.51,189.91400000000002,4,0.536,27
Ashley Wimer,1P8sCwIhxxPBIAMVulSk8S,Purple Smoke,0.228,0.75,151268,0.597,1.85e-05,10,0.124,-6.596,0,0.292,180.011,4,0.14300000000000002,8
Frisco,2xJ4VUB1qrb60ye3nKuLxP,Bread,0.0549,0.6859999999999999,195827,0.7490000000000001,0.0,2,0.0876,-4.05,1,0.312,140.279,4,0.5760000000000001,25
Jelani Sei,7e6VXslZqav4cRC7MDBmyO,Rep. Maxine Waters,0.00253,0.344,373981,0.596,0.000306,4,0.0984,-10.915999999999999,1,0.0741,71.53699999999999,4,0.308,10
Lia Clark,1CC9SF1VoQdMZ01wzuJyxp,Q.M.T.,0.5,0.685,165000,0.986,0.0,8,0.332,-3.832,1,0.20800000000000002,127.963,4,0.212,46
MAAGS,7DHmhhau9QTtjnoJpeOAk8,Born to Shine,0.0824,0.6559999999999999,219864,0.523,0.000696,10,0.0938,-8.046,1,0.0392,130.024,4,0.159,13
Taysav,5sUQU6jRUs4072IFkhxCqV,Bands,0.374,0.415,233613,0.484,0.0,1,0.174,-7.976,1,0.359,56.883,3,0.168,12
Stoneface & Terminal,0naMP2u5AM6y8T6Q6wAmST,So What - Greg Downey Extended Remix,0.0115,0.633,359984,0.997,0.738,1,0.289,-5.694,1,0.11900000000000001,140.037,4,0.28800000000000003,10
Rain Sounds,5CaGOoN6zjLsK1e1lCmrB1,Heavy Rainfall,0.988,0.0,115642,0.0031,0.358,2,0.95,-16.906,1,0.0,0.0,0,0.0,6
Disc Misc,2sdlPvDbChDuZnZeV4V1c8,Prey To The Sky,0.0177,0.8140000000000001,60299,0.43700000000000006,0.818,3,0.0994,-21.221,1,0.0911,120.02,5,0.502,0
Whisteling Ducks,1PrTybzVEWU2Xy09cqGMR8,12 Gauge,5.42e-06,0.47200000000000003,260687,0.499,0.8140000000000001,1,0.0798,-13.782,1,0.0298,123.583,3,0.465,0
Los Alameños De La Sierra,2NACuzBSG3C2u8gE3Xor0S,El Asesino,0.314,0.765,191352,0.75,3.12e-06,9,0.0671,-3.9410000000000003,1,0.0446,106.846,3,0.915,26
Karan Aujla,2QMyLbvsgxGUVXnInv31CE,Yaarian Ch Fikk,0.0919,0.6990000000000001,203677,0.754,0.0,10,0.11599999999999999,-7.721,0,0.162,92.064,4,0.662,33
Mula B,4xXaV9BxYUHVsGYJzJf0uD,Struggle (feat. Bartofso),0.305,0.8370000000000001,192521,0.6709999999999999,0.00035099999999999997,9,0.0706,-6.513999999999999,0,0.152,91.999,4,0.24,43
Mula B,3pyTQRPwt13WprfPr5oTrJ,Den Haag,0.00883,0.863,201523,0.703,0.0,8,0.0985,-5.649,1,0.179,144.987,4,0.48,42
Yaydo,5QVgTD88uskSyeYsw0wJcn,Ubetcha,0.0016699999999999998,0.8809999999999999,194992,0.912,0.0,8,0.073,-4.368,0,0.17600000000000002,110.01,4,0.713,9
Ash,4ACScNpF25FAIQfTo7D0DC,Big in Japan,0.601,0.687,266939,0.535,0.007209999999999999,2,0.125,-9.228,0,0.0392,97.999,4,0.2,41
Kayley Hill,3aBu0WxnipyqTQ6zHWJ3eF,You're Her Man,0.19,0.284,212221,0.45899999999999996,0.0,0,0.0793,-11.988,1,0.0417,84.632,4,0.27399999999999997,13
Doks,3eFBcmmPlV9S6zW4DrZHcu,Drague,0.10300000000000001,0.6609999999999999,207494,0.774,0.0,8,0.125,-6.867999999999999,1,0.0416,108.109,4,0.76,37
Fray FBE,2GXEdEEkJEbKRHRpKKBBL2,Pegalo,0.27699999999999997,0.7390000000000001,134922,0.498,0.00149,1,0.188,-12.009,1,0.128,118.096,4,0.532,5
Steve Davit,2ECcrX7AHXGr6wRNusFhAj,Night Song,0.877,0.0795,326049,0.0287,0.919,8,0.111,-13.299000000000001,1,0.0426,178.138,5,0.0396,2
Jon Vlogs,5F5sL4lKrLM1JO0FzsiD07,My Way,0.26899999999999996,0.722,253283,0.706,2.37e-06,6,0.0804,-4.666,0,0.0548,85.98299999999999,4,0.509,48
егор натс,7pnJJcrxjaSk95RC3Obz8o,Хочу к тебе,0.361,0.871,146202,0.457,0.00124,3,0.113,-11.99,0,0.0524,125.015,4,0.792,21
WiLL Music,5fzvvbkGupF7SI7C1bXxpp,Want,0.0029,0.7340000000000001,198000,0.621,0.643,8,0.10099999999999999,-5.843,1,0.0393,160.072,4,0.6409999999999999,5
Rich the Prince,6bCbaHwQeiolQ02S1TImQ8,Fijii on My Neck,0.591,0.40700000000000003,144518,0.6920000000000001,2.39e-06,8,0.537,-8.426,0,0.316,83.05799999999999,3,0.373,8
Big Chuk,6762RIzYMnCCETKHP4huJc,Leap of Faith,0.0657,0.763,241664,0.63,0.0,9,0.33,-6.678,1,0.0828,129.91,4,0.332,10
Big Chuk,4yAAeNBGuenxVVebwNFJWo,Nothin' free,0.0161,0.736,211456,0.623,1.42e-06,9,0.114,-5.8660000000000005,0,0.171,134.809,4,0.265,8
Rain Sounds,7jEtGVPqvS0BmI1ptRJoTi,Relaxing Rain,0.0019199999999999998,0.17,220096,0.97,0.899,10,0.361,-14.732000000000001,0,0.0678,82.199,4,0.0381,4
Rah-C,4GZMuXoglJVHXGutLYGde0,2 Words,0.6759999999999999,0.49,142663,0.711,0.0,2,0.125,-8.988,0,0.48100000000000004,89.079,4,0.5529999999999999,13
Brodie Jaymz,0cD4vzvYDplnoiFOu25U8Y,Shallows,0.56,0.618,267303,0.485,0.00629,9,0.0621,-8.556000000000001,0,0.0759,88.994,4,0.419,18
Waterfall Sounds,2Ct10zhq1Vewv3E9hgEEVk,Refined Waterfall Sounds,0.213,0.139,68963,0.941,0.996,10,0.9790000000000001,-28.686,0,0.0519,86.521,5,0.0131,34
Waterfall Sounds,5WNrZVvzFCI8sdhInAa9Pd,Atlantic Waterfall Sounds,0.203,0.263,64157,0.9209999999999999,0.996,10,0.977,-28.373,0,0.0532,85.083,5,0.017,26
Amazon Sounds,317zL6U2zgWr1NzRIhUauL,Bird Sounds,0.0005809999999999999,0.473,68885,0.0723,0.489,1,0.11199999999999999,-37.528,1,0.833,128.757,4,0.555,7
